-113.771,-8.691,-20.0772
-104.787,-6.9934,-18.2778
-104.656,-6.9593,-18.2511
-98.23,-4.8912,-16.4447
-97.721,-4.7189,-16.2992
-91.934,-2.8643,-14.1415
-91.803,-2.823,-14.0937
-85.377,-0.7549,-12.3042
-84.868,-0.5896,-12.163
-78.95,1.3133,-10.6338
-77.162,1.8718,-10.1842
-72.525,3.2916,-10.1105
-70.472,3.9139,-10.233
-66.93,4.9518,-11.2589
-65.458,5.3599,-12.0124
-62.474,6.1417,-13.5032
-57.752,7.3386,-14.1341
-57.357,7.4406,-13.9506
-53.491,8.4512,-11.7935
-50.046,9.3174,-10.3778
-48.345,9.7172,-9.7258
-44.528,10.5417,-11.8804
-42.633,10.9149,-14.1255
-41.377,11.1492,-16.281
-41.06,11.2067,-16.6684
-39.482,11.4837,-18.5261
-38.188,11.7008,-17.3579
-36.882,11.9121,-15.1118
-35.576,12.1169,-12.8657
-33.629,12.4122,-10.6193
-30.798,12.8269,-9.8088
-30.417,12.8817,-9.72
-28.522,13.149,-11.9651
-27.908,13.2325,-14.2106
-26.653,13.3966,-16.4559
-24.719,13.6292,-15.2875
-23.414,13.7704,-13.1312
-22.747,13.8374,-10.8853
-22.081,13.901,-8.6393
-20.775,14.0159,-6.3932
-18.828,14.1638,-4.1469
-18.617,14.1783,-4.229
-16.281,14.3205,-5.3138
-14.385,14.4177,-7.4691
-13.086,14.4772,-5.9416
-12.42,14.5059,-3.6956
-11.114,14.5592,-1.4495
-10.448,14.585,0.7964
-9.782,14.61,3.0424
-9.221,14.6304,6.3751
-8.475,14.6569,5.2885
-7.809,14.68,7.5344
-6.503,14.724,9.7806
-5.896,14.7442,10.8813
-4.556,14.7887,12.0269
-3.884,14.8118,12.7543
-3.349,14.831,13.1032
-0.689,14.9254,14.1841
1.006,14.9404,14.8164
3.16,14.9039,14.3968
4.425,14.872,13.9404
5.064,14.8543,13.3775
6.927,14.7979,12.3143
8.24,14.7541,11.2226
9.117,14.723,10.1598
9.495,14.7092,8.9773
10.749,14.6613,6.732
12.004,14.6103,4.4867
13.259,14.5559,2.2414
13.873,14.5279,-0.0042
14.488,14.499,-2.2497
15.742,14.4367,-4.495
16.357,14.4044,-6.7405
16.971,14.3709,-8.986
17.585,14.3361,-11.2315
18.52,14.2801,-13.0046
18.84,14.26,-13.4769
26.527,13.6105,-13.1151
31.31,13.0266,-11.9836
32.305,12.8901,-11.7658
39.333,11.7996,-13.1109
41.536,11.413,-12.5752
47.038,10.3556,-11.222
50.479,9.6193,-11.5258
58.141,7.7354,-12.2723
58.55,7.6252,-12.2962
65.161,5.7615,-12.6711
72.18,3.6977,-13.0416
72.627,3.5579,-13.1002
78.559,1.6337,-13.9219
83.494,0.1071,-14.6237
84.939,-0.3405,-14.8638
91.318,-2.4045,-15.9283
93.718,-3.1954,-16.3272
97.696,-4.4685,-16.8817
104.585,-6.4954,-17.8507
104.716,-6.5323,-17.883
112.246,-8.2936,-19.8245
